,上映日期,分类,国家,导演演员,标题,简评,评分,评论人数
31,1994 , 剧情历史家庭, 中国大陆香港 ,导演:张艺谋YimouZhang   主演:葛优YouGe/巩俐LiGong/姜武WuJiang,活着,张艺谋最好的电影。,9.1,307330人
32,2003 , 剧情动作奇幻冒险, 美国新西兰 ,导演:彼得·杰克逊PeterJackson   主演:维果·莫腾森ViggoMortensen/,指环王3：王者无敌,史诗的终章。,9.1,315603人
33,1986 , 动画奇幻冒险, 日本 ,导演:宫崎骏HayaoMiyazaki   主演:田中真弓MayumiTanaka/横泽启子Ke,天空之城,对天空的追逐，永不停止。 ,9.0,370891人
34,2016 , 喜剧动画冒险, 美国 ,导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore   主演:金妮弗·,疯狂动物城,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,9.2,588039人
35,1995 , 喜剧爱情奇幻冒险, 香港中国大陆 ,导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg,大话西游之月光宝盒,旷古烁今。,8.9,453039人
36,1953 , 喜剧剧情爱情, 美国 ,导演:威廉·惠勒WilliamWyler   主演:奥黛丽·赫本AudreyHepburn/格,罗马假日,爱情哪怕只有一天。,8.9,427125人
37,2009 , 剧情喜剧动画冒险, 美国 ,导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson   主演:爱德,飞屋环游记,最后那些最无聊的事情，才是最值得怀念的。 ,8.9,555953人
38,2006 , 剧情悬疑, 德国 ,导演:弗洛里安·亨克尔·冯·多纳斯马FlorianHenckelvonDonnersmarck   ,窃听风暴,别样人生。,9.1,250358人
39,1998 , 剧情喜剧犯罪, 英国 ,导演:GuyRitchie   主演:JasonFlemyng/DexterFletcher/NickMoran,两杆大烟枪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,9.1,297328人
40,1957 , 剧情犯罪悬疑, 美国 ,导演:比利·怀尔德BillyWilder   主演:查尔斯·劳顿CharlesLaughton/,控方证人,比利·怀德满分作品。,9.6,112436人
41,1975 , 剧情, 美国 ,导演:米洛斯·福尔曼MilošForman   主演:杰克·尼科尔森JackNichols,飞越疯人院,自由万岁。,9.0,301992人
42,1992 , 剧情, 美国 ,导演:马丁·布莱斯MartinBrest   主演:阿尔·帕西诺AlPacino/克里斯,闻香识女人,史上最美的探戈。,8.9,359740人
43,2004 , 动画奇幻冒险, 日本 ,导演:宫崎骏HayaoMiyazaki   主演:倍赏千惠子ChiekoBaishô/木村拓,哈尔的移动城堡,带着心爱的人在天空飞翔。,8.9,394819人
44,2009 , 纪录片, 美国 ,导演:LouiePsihoyos   主演:JohnChisholm/Mandy-RaeCruikshank/Char,海豚湾,海豚的微笑，是世界上最高明的伪装。,9.3,196458人
45,2005 , 剧情动作科幻惊悚, 美国英国德国 ,导演:詹姆斯·麦克特格JamesMcTeigue   主演:娜塔莉·波特曼NataliePor,V字仇杀队,一张面具背后的理想与革命。,8.8,465821人
46,2013 , 剧情, 韩国 ,导演:杨宇硕Woo-seokYang   主演:宋康昊Kang-hoSong/吴达洙Dal-suO,辩护人,电影的现实意义大过电影本身。,9.1,238265人
47,1989 , 剧情, 美国 ,导演:彼得·威尔PeterWeir   主演:罗宾·威廉姆斯RobinWilliams/罗伯,死亡诗社,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,9.0,309846人
48,1974 , 剧情犯罪, 美国 ,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A,教父2,优雅的孤独。,9.1,208168人
49,2001 , 传记剧情, 美国 ,导演:朗·霍华德RonHoward   主演:罗素·克劳RussellCrowe/詹妮弗·,美丽心灵,爱是一切逻辑和原由。,8.9,334651人
50,2002 , 剧情动作奇幻冒险, 美国新西兰 ,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩,指环王2：双塔奇兵,承前启后的史诗篇章。,9.0,296899人
51,2001 , 剧情动作奇幻冒险, 新西兰美国 ,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩,指环王1：魔戒再现,传说的开始。,8.9,332278人
52,1995 , 剧情爱情, 日本 ,导演:岩井俊二ShunjiIwai   主演:中山美穗MihoNakayama/丰川悦司Ets,情书,暗恋的极致。,8.8,412579人
53,1994 , 剧情家庭, 台湾美国 ,导演:李安AngLee   主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴,饮食男女,人生不能像做菜，把所有的料都准备好了才下锅。,9.1,224277人
54,2016 , 剧情传记运动家庭, 印度 ,导演:涅提·蒂瓦里NiteshTiwari   主演:阿米尔·汗AamirKhan/法缇玛,摔跤吧！爸爸,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,9.1,520129人
55,1984 , 犯罪剧情, 意大利美国 ,导演:赛尔乔·莱翁内SergioLeone   主演:罗伯特·德尼罗RobertDeNiro,美国往事,往事如烟，无处祭奠。,9.1,192106人
56,1994 , 剧情动画冒险歌舞家庭, 美国 ,导演:RogerAllers/罗伯·明可夫RobMinkoff   主演:乔纳森·泰勒·托马,狮子王,动物版《哈姆雷特》。,8.9,310014人
57,2002 , 剧情传记历史战争音乐, 法国德国英国波兰 ,导演:罗曼·波兰斯基RomanPolanski   主演:艾德里安·布洛迪AdrienBrod,钢琴家,音乐能化解仇恨。,9.0,220948人
58,2001 , 喜剧爱情, 法国德国 ,导演:让-皮埃尔·热内Jean-PierreJeunet   主演:奥黛丽·塔图AudreyTau,天使爱美丽,法式小清新。 ,8.7,521270人
59,2013 , 剧情, 韩国 ,导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm,素媛,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,9.1,206456人
60,1995 , 剧情犯罪悬疑惊悚, 美国 ,导演:大卫·芬奇DavidFincher   主演:摩根·弗里曼MorganFreeman/布,七宗罪,警察抓小偷，老鼠玩死猫。,8.7,469937人
61,1997 , 剧情家庭儿童, 伊朗 ,导演:马基德·马基迪MajidMajidi   主演:AmirFarrokhHashemian/默罕,小鞋子,奔跑的孩子是天使。,9.2,154162人
62,2006 , 剧情歌舞, 日本 ,导演:中岛哲也TetsuyaNakashima   主演:中谷美纪MikiNakatani/瑛太E,被嫌弃的松子的一生,以戏谑来戏谑戏谑。,8.9,321557人
63,2006 , 剧情悬疑惊悚, 美国英国 ,导演:克里斯托弗·诺兰ChristopherNolan   主演:休·杰克曼HughJackman,致命魔术,孪生蝙蝠侠大战克隆金刚狼。,8.8,376841人
