,上映日期,分类,国家,导演演员,标题,简评,评分,评论人数
132,1988 , 剧情, 美国 ,导演:巴瑞·莱文森BarryLevinson   主演:达斯汀·霍夫曼DustinHoffman,雨人,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,8.6,220756人
133,2001 , 儿童喜剧动画奇幻冒险, 美国 ,导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman   主演:约,怪兽电力公司,不要给它起名字，起了名字就有感情了。,8.6,258348人
134,2010 , 剧情惊悚, 美国 ,导演:达伦·阿罗诺夫斯基DarrenAronofsky   主演:娜塔莉·波特曼Natalie,黑天鹅,黑暗之美。,8.5,441470人
135,1986 , 动作犯罪, 香港 ,导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/狄龙LungTi/张国,英雄本色,英雄泪短，兄弟情长。 ,8.7,180298人
136,2013 , 喜剧动画冒险, 美国 ,导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders   主演,疯狂原始人,老少皆宜，这就是好莱坞动画的魅力。,8.7,391901人
137,1994 , 剧情爱情西部家庭, 美国 ,导演:爱德华·兹威克EdwardZwick   主演:安东尼·霍普金斯AnthonyHopki,燃情岁月,传奇，不是每个人都可以拥有。,8.7,154872人
138,2004 , 剧情历史战争, 英国南非意大利美国 ,导演:特瑞·乔治TerryGeorge   主演:唐·钱德尔DonCheadle/苏菲·奥,卢旺达饭店,当这个世界闭上双眼，他却敞开了怀抱。,8.8,127506人
139,1966 , 喜剧战争, 法国英国 ,导演:杰拉尔·乌里GérardOury   主演:路易·德·菲耐斯LouisdeFunès,虎口脱险,永远看不腻的喜剧。,8.9,112519人
140,2015 , 剧情, 日本 ,导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir,小森林 冬春篇,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,8.9,126284人
141,2013 , 剧情喜剧家庭, 韩国 ,导演:李焕庆Hwan-kyeongLee   主演:柳承龙Seung-yongRyoo/朴信惠Shi,7号房的礼物,《我是山姆》的《美丽人生》。,8.7,189677人
142,2004 , 剧情爱情, 美国 ,导演:尼克·卡索维茨NickCassavetes   主演:瑞恩·高斯林RyanGosling/,恋恋笔记本,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,8.5,301123人
143,2005 , 剧情爱情, 法国英国美国 ,导演:乔·怀特JoeWright   主演:凯拉·奈特莉KeiraKnightley/马修·,傲慢与偏见,爱是摈弃傲慢与偏见之后的曙光。,8.5,321711人
144,2016 , 剧情家庭, 美国 ,导演:肯尼斯·罗纳根KennethLonergan   主演:卡西·阿弗莱克CaseyAffle,海边的曼彻斯特,我们都有权利不与自己的过去和解。,8.6,209289人
145,2011 , 剧情悬疑奇幻冒险, 美国英国 ,导演:大卫·叶茨DavidYates   主演:丹尼尔·雷德克里夫DanielRadcliffe,哈利·波特与死亡圣器(下),10年的完美句点。,8.7,290678人
146,2011 , 剧情爱情动画奇幻, 日本 ,导演:大森贵弘TakahiroOmori   主演:佐仓绫音AyaneSakura/内山昂辉K,萤火之森,触不到的恋人。,8.7,169507人
147,1993 , 剧情犯罪, 美国 ,导演:克林特·伊斯特伍德ClintEastwood   主演:凯文·科斯特纳KevinCos,完美的世界,坏人的好总是比好人的好来得更感人。,9.0,86694人
148,1990 , 剧情犯罪, 美国 ,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A,教父3,任何信念的力量，都无法改变命运。,8.8,139124人
149,2014 , 剧情喜剧犯罪, 阿根廷西班牙 ,导演:达米安·斯兹弗隆DamiánSzifron   主演:达里奥·葛兰帝内提Darío,荒蛮故事,始于荒诞，止于更荒诞。,8.8,152466人
150,1991 , 剧情喜剧动作犯罪, 香港 ,导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/张国荣LeslieCheung,纵横四海,香港浪漫主义警匪动作片的巅峰之作。,8.7,156958人
151,2015 , 纪录片, 中国大陆 ,导演:郭柯KeGuo   主演:,二十二,有一些东西不应该被遗忘。,8.8,106369人
152,1940 , 剧情战争爱情, 美国 ,导演:MervynLeRoy   主演:VivienLeigh/RobertTaylor/LucileWatson,魂断蓝桥,中国式内在的美国电影。,8.8,135751人
153,1996 , 犯罪剧情, 英国 ,导演:丹尼·博伊尔DannyBoyle   主演:伊万·麦克格雷格EwanMcGregor/,猜火车,不可猜的青春迷笛。 ,8.5,259798人
154,2006 , 剧情爱情科幻动画, 日本 ,导演:细田守MamoruHosoda   主演:仲里依纱RiisaNaka/石田卓也Takuya,穿越时空的少女,爱上未来的你。 ,8.6,195019人
155,2010 , 喜剧动画奇幻冒险, 美国 ,导演:李·昂克里奇LeeUnkrich   主演:汤姆·汉克斯TomHanks/蒂姆·艾,玩具总动员3,跨度十五年的欢乐与泪水。,8.8,202105人
156,2000 , 剧情爱情, 香港法国 ,导演:王家卫KarWaiWong   主演:梁朝伟TonyLeungChiuWai/张曼玉Ma,花样年华,偷情本没有这样美。,8.5,261595人
157,1952 , 喜剧歌舞爱情, 美国 ,导演:StanleyDonen/GeneKelly   主演:GeneKelly/DonaldO'Connor/,雨中曲,骨灰级歌舞片。,9.0,97654人
158,2014 , 剧情犯罪悬疑, 中国大陆 ,导演:忻钰坤YukunXin   主演:霍卫民WeiminHuo/王笑天XiaotianWang,心迷宫,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,8.6,185111人
159,2013 , 剧情爱情奇幻, 英国 ,导演:理查德·柯蒂斯RichardCurtis   主演:多姆纳尔·格利森DomhnallGl,时空恋旅人,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,8.6,215233人
160,1993 , 喜剧爱情古装, 香港 ,导演:李力持Lik-ChiLee   主演:周星驰StephenChow/巩俐LiGong/陈,唐伯虎点秋香,华太师是黄霑，吴镇宇四大才子之一。,8.4,352952人
161,2014 , 喜剧动作科幻动画冒险, 美国 ,导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams   主演:斯科特,超能陆战队,Balalala~~~,8.6,393857人
162,2001 , 剧情家庭, 美国 ,导演:杰茜·尼尔森JessieNelson   主演:SeanPenn/DakotaFanning/Mi,我是山姆,爱并不需要智商 。,8.8,110627人
163,2012 , 剧情动作科幻犯罪惊悚, 美国英国 ,导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ,蝙蝠侠：黑暗骑士崛起,诺兰就是保证。,8.6,310597人
164,2001 , 冒险剧情科幻, 美国 ,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:海利·乔·奥斯蒙Haley,人工智能,对爱的执着，可以超越一切。,8.6,200450人
165,2008 , 剧情惊悚, 德国 ,导演:丹尼斯·甘塞尔DennisGansel   主演:尤尔根·沃格尔JürgenVogel,浪潮,世界离独裁只有五天。,8.7,139558人
166,2002 , 喜剧动画冒险, 美国 ,导演:卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge   主演,冰川时代,松鼠才是角儿。,8.4,286165人
167,2006 , 剧情犯罪奇幻, 德国法国西班牙美国 ,导演:汤姆·提克威TomTykwer   主演:本·卫肖BenWhishaw/艾伦·瑞克,香水,一个单凭体香达到高潮的男人。,8.4,290046人
168,2008 , 剧情爱情, 美国德国 ,导演:史蒂芬·戴德利StephenDaldry   主演:凯特·温丝莱特KateWinslet,朗读者,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,8.5,289124人
169,2017 , 剧情爱情同性, 意大利法国巴西美国 ,导演:卢卡·圭达尼诺LucaGuadagnino   主演:蒂莫西·柴勒梅德Timothée,请以你的名字呼唤我,沉醉在电影的情感和视听氛围中无法自拔。,8.8,176501人
170,1950 , 犯罪剧情悬疑, 日本 ,导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/千秋实,罗生门,人生的N种可能性。,8.7,132739人
171,2014 , 剧情音乐, 美国 ,导演:达米安·沙泽勒DamienChazelle   主演:迈尔斯·特勒MilesTeller/,爆裂鼓手,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,8.6,252013人
172,1998 , 犯罪悬疑惊悚, 英国 ,导演:克里斯托弗·诺兰ChristopherNolan   主演:杰里米·西奥伯德Jeremy,追随,诺兰的牛逼来源于内心散发出的恐惧。,8.9,85941人
173,2011 , 剧情家庭, 伊朗法国 ,导演:阿斯哈·法哈蒂AsgharFarhadi   主演:佩曼·莫阿迪PeymanMoadi/,一次别离,只有有信仰的人才能说出事实真相。,8.7,138879人
174,1997 , 动画奇幻惊悚, 日本 ,导演:今敏SatoshiKon   主演:岩男润子JunkoIwao/松本梨香RicaMatsu,未麻的部屋,好的剧本是，就算你猜到了结局也猜不到全部。,8.8,104676人
175,2016 , 剧情传记历史战争, 美国澳大利亚 ,导演:梅尔·吉布森MelGibson   主演:安德鲁·加菲尔德AndrewGarfield/,血战钢锯岭,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,8.7,335911人
176,2004 , 犯罪剧情, 美国德国 ,导演:保罗·哈吉斯PaulHaggis   主演:桑德拉·布洛克SandraBullock/,撞车,天使与魔鬼的冲撞。,8.6,181482人
177,2004 , 剧情犯罪, 中国大陆香港 ,导演:陆川ChuanLu   主演:多布杰Duobujie/张磊LeiZhang/亓亮QiL,可可西里,坚硬的信仰。,8.7,135509人
178,2005 , 剧情犯罪, 美国法国 ,导演:安德鲁·尼科尔AndrewNiccol   主演:尼古拉斯·凯奇NicolasCage/,战争之王,做一颗让别人需要你的棋子。,8.5,182576人
179,2009 , 剧情悬疑惊悚, 英国澳大利亚 ,导演:克里斯托弗·史密斯ChristopherSmith   主演:梅利莎·乔治Melissa,恐怖游轮,不要企图在重复中寻找已经失去的爱。,8.3,344647人
180,2007 , 剧情儿童家庭, 印度 ,导演:阿米尔·汗AamirKhan   主演:达席尔·萨法瑞DarsheelSafary/阿,地球上的星星,天使保护事件始末。,8.8,90114人
181,2000 , 剧情, 美国 ,导演:达伦·阿伦诺夫斯基DarrenAronofsky   主演:艾伦·伯斯汀EllenBur,梦之安魂曲,一场没有春天的噩梦。,8.7,116894人
182,2013 , 剧情传记同性, 美国 ,导演:让-马克·瓦雷Jean-MarcVallée   主演:马修·麦康纳MatthewMcCon,达拉斯买家俱乐部,Jared Leto的腿比女人还美！,8.7,177424人
183,2012 , 剧情动作西部冒险, 美国 ,导演:昆汀·塔伦蒂诺QuentinTarantino   主演:杰米·福克斯JamieFoxx/,被解救的姜戈,热血沸腾，那个低俗、性感的无耻混蛋又来了。,8.6,271559人
184,1990 , 犯罪剧情爱情, 香港 ,导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/张曼玉MaggieC,阿飞正传,王家卫是一种风格，张国荣是一个代表。,8.5,193346人
185,1991 , 剧情犯罪, 台湾 ,导演:杨德昌EdwardYang   主演:张震ChenChang/杨静怡LisaYang/张,牯岭街少年杀人事件,弱者送给弱者的一刀。,8.7,112607人
186,2002 , 动作悬疑惊悚, 美国德国捷克 ,导演:道格·里曼DougLiman   主演:马特·达蒙MattDamon/弗兰卡·波坦,谍影重重,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,8.5,200791人
187,1989 , 动画奇幻冒险, 日本 ,导演:宫崎骏HayaoMiyazaki   主演:高山南MinamiTakayama/佐久间玲Re,魔女宅急便,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,8.5,205214人
188,2004 , 动作悬疑惊悚, 美国德国 ,导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/,谍影重重2,谁说王家卫镜头很晃？,8.5,166674人
189,2015 , 剧情喜剧动作, 印度 ,导演:卡比尔·汗KabirKhan   主演:萨尔曼·汗SalmanKhan/哈莎莉·马,小萝莉的猴神大叔,,8.6,160518人
190,2015 , 剧情家庭, 爱尔兰加拿大英国美国 ,导演:伦尼·阿伯拉罕森LennyAbrahamson   主演:布丽·拉尔森BrieLarson,房间,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,8.8,165080人
191,2015 , 喜剧动画冒险, 美国 ,导演:彼特·道格特PeteDocter/罗纳尔多·德尔·卡门RonaldoDelCarmen  &nb,头脑特工队,愿我们都不用长大，每一座城堡都能永远存在。,8.7,240736人
192,1960 , 悬疑惊悚恐怖, 美国 ,导演:AlfredHitchcock   主演:JanetLeigh/AnthonyPerkins/VeraMiles,惊魂记,故事的反转与反转，分裂电影的始祖。,8.9,87741人
193,1987 , 剧情, 日本 ,导演:SeijirôKôyama   主演:山本圭KeiYamamoto/井川比佐志Hisa,忠犬八公物语,养狗三日，便会对你终其一生。,9.0,63561人
194,1988 , 剧情爱情, 法国美国意大利 ,导演:LucBesson   主演:让-马克·巴尔Jean-MarcBarr/让·雷诺JeanRe,碧海蓝天,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,8.7,110608人
195,2013 , 喜剧爱情音乐, 美国 ,导演:约翰·卡尼JohnCarney   主演:凯拉·奈特莉KeiraKnightley/马克,再次出发之纽约遇见你,爱我就给我看你的播放列表。,8.5,179840人
196,1993 , 剧情奇幻古装, 香港 ,导演:徐克HarkTsui   主演:张曼玉MaggieCheung/王祖贤JoeyWang/,青蛇,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,8.4,232215人
197,1953 , 剧情家庭, 日本 ,导演:小津安二郎YasujirôOzu   主演:笠智众ChishûRyû/原节,东京物语,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,9.2,53642人
198,1979 , 冒险动画奇幻, 中国大陆 ,导演:严定宪DingxianYan/王树忱ShuchenWang   主演:梁正晖Zhenghui,哪吒闹海,想你时你在闹海。,8.9,84801人
199,2007 , 动画剧情爱情, 日本 ,导演:新海诚MakotoShinkai   主演:水桥研二KenjiMizuhashi/近藤好美,秒速5厘米,青春就是放弃和怀念。,8.3,313004人
200,1991 , 犯罪剧情惊悚, 美国法国 ,导演:雷德利·斯科特RidleyScott   主演:吉娜·戴维斯GeenaDavis/苏,末路狂花,没有了退路，只好飞向自由。,8.7,109735人
201,2009 , 剧情喜剧音乐, 英国德国法国 ,导演:理查德·柯蒂斯RichardCurtis   主演:比尔·奈伊BillNighy/肯尼,海盗电台,生命不止，摇滚不死。,8.6,170017人
202,2014 , 剧情传记战争同性, 英国美国 ,导演:莫腾·泰杜姆MortenTyldum   主演:本尼迪克特·康伯巴奇BenedictC,模仿游戏,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,8.6,267820人
203,1999 , 犯罪剧情奇幻悬疑, 美国 ,导演:FrankDarabont   主演:汤姆·汉克斯TomHanks/大卫·摩斯DavidM,绿里奇迹,天使暂时离开。,8.7,111240人
204,1991 , 动作科幻, 美国法国 ,导演:詹姆斯·卡梅隆JamesCameron   主演:阿诺·施瓦辛格ArnoldSchwarz,终结者2：审判日,少见的超越首部的续集，动作片中的经典。,8.6,147351人
205,2011 , 科幻悬疑惊悚, 美国加拿大 ,导演:邓肯·琼斯DuncanJones   主演:杰克·吉伦哈尔JakeGyllenhaal/,源代码,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,8.3,425009人
206,2003 , 动作科幻, 美国澳大利亚 ,导演:AndyWachowski/LarryWachowski   主演:KeanuReeves/LaurenceF,黑客帝国3：矩阵革命,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,8.5,163318人
207,1992 , 剧情动作武侠古装, 香港中国大陆 ,导演:李惠民RaymondLee   主演:张曼玉MaggieCheung/林青霞Brigitte,新龙门客栈,嬉笑怒骂，调风动月。,8.5,192482人
208,1996 , 动作冒险, 美国 ,导演:迈克尔·贝MichaelBay   主演:肖恩·康纳利SeanConnery/尼古拉,勇闯夺命岛,类型片的极致。 ,8.5,147289人
209,2007 , 剧情科幻, 美国 ,导演:理查德·沙因克曼RichardSchenkman   主演:大卫·李·史密斯David,这个男人来自地球,科幻真正的魅力不是视觉效果能取代的。 ,8.5,190311人
210,2015 , 剧情, 瑞典 ,导演:汉内斯·赫尔姆HannesHolm   主演:罗夫·拉斯加德RolfLassgård,一个叫欧维的男人决定去死,惠及一生的美丽。,8.7,126644人
211,2016 , 剧情爱情动画, 日本 ,导演:新海诚MakotoShinkai   主演:神木隆之介RyûnosukeKamiki/上,你的名字。,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,8.4,496627人
212,1942 , 剧情爱情战争, 美国 ,导演:MichaelCurtiz   主演:亨弗莱·鲍嘉HumphreyBogart/英格丽·褒曼,卡萨布兰卡,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,8.6,129564人
213,1931 , 喜剧剧情爱情, 美国 ,导演:CharlesChaplin   主演:查理·卓别林CharlesChaplin/弗吉尼亚·,城市之光,永远的小人物，伟大的卓别林。,9.2,46462人
214,1997 , 动作科幻犯罪惊悚, 美国 ,导演:吴宇森JohnWoo   主演:约翰·特拉沃尔塔JohnTravolta/尼古拉斯,变脸,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,8.4,222103人
215,2007 , 冒险传记剧情, 美国 ,导演:西恩·潘SeanPenn   主演:埃米尔·赫斯基EmileHirsch/马西娅·,荒野生存,出门必备：本草纲目。,8.6,132331人
216,1982 , 剧情科幻, 美国 ,导演:StevenSpielberg   主演:HenryThomas/DeeWallace/RobertMacNa,E.T. 外星人,生病的E.T.皮肤的颜色就像柿子饼。,8.5,159761人
217,2001 , 纪录片, 法国德国意大利西班牙瑞士 ,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:,迁徙的鸟,最美的飞翔。,9.1,53184人
218,2010 , 剧情喜剧爱情, 泰国 ,导演:普特鹏·普罗萨卡·那·萨克那卡林PuttipongPromsakaNaSakolnakorn/华森·波克彭,初恋这件小事,黑小鸭速效美白记。,8.3,480954人
219,2009 , 剧情犯罪, 美国德国 ,导演:QuentinTarantino   主演:布拉德·皮特BradPitt/梅拉尼·罗兰M,无耻混蛋,昆汀同学越来越变态了，比北野武还杜琪峰。,8.4,231921人
220,1971 , 犯罪剧情科幻, 英国美国 ,导演:StanleyKubrick   主演:MalcolmMcDowell/PatrickMagee/Michael,发条橙,我完全康复了。,8.4,192819人
221,1966 , 冒险西部, 意大利西班牙西德 ,导演:SergioLeone   主演:ClintEastwood/EliWallach/LeeVanCleef,黄金三镖客,最棒的西部片。,9.1,53849人
222,1999 , 剧情爱情家庭, 美国 ,导演:萨姆·门德斯SamMendes   主演:凯文·史派西KevinSpacey/安妮特,美国丽人,每个人的内心都是深不可测的大海。 ,8.4,192333人
223,2004 , 剧情, 日本 ,导演:是枝裕和HirokazuKoreeda   主演:柳乐优弥YûyaYagira/北浦爱,无人知晓,我的平常生活就是他人的幸福。,9.0,60475人
224,2013 , 剧情爱情, 美国 ,导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke,爱在午夜降临前,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,8.8,121751人
225,1996 , 爱情剧情战争, 美国英国 ,导演:安东尼·明格拉AnthonyMinghella   主演:拉尔夫·费因斯RalphFien,英国病人,"In memory, love lives forever...",8.4,178874人
226,1996 , 犯罪剧情, 日本 ,导演:岩井俊二ShunjiIwai   主演:恰拉Chara/伊藤步AyumiIto/三上,燕尾蝶,现实与童话交相辉映的旅程。,8.6,110451人
227,1995 , 剧情犯罪悬疑惊悚, 德国美国 ,导演:布莱恩·辛格BryanSinger   主演:史蒂芬·鲍德温StephenBaldwin/,非常嫌疑犯,我不信仰上帝，但我敬畏上帝。,8.6,120845人
228,2006 , 喜剧犯罪, 中国大陆香港 ,导演:宁浩HaoNing   主演:郭涛TaoGuo/刘桦HuaLiu/连晋TeddyLin,疯狂的石头,中国版《两杆大烟枪》。,8.3,328984人
229,2008 , 剧情传记, 美国 ,导演:彼得·维纳PeterWerner   主演:詹姆斯·沃克JamesWolk/特里特·,叫我第一名,乐观比一切都有力量。,8.6,112480人
230,2011 , 剧情运动家庭, 美国 ,导演:加文·欧康诺GavinO'Connor   主演:汤姆·哈迪TomHardy/乔尔·,勇士,热血沸腾，相当完美的娱乐拳击大餐。,8.9,90380人
231,2001 , 剧情悬疑惊悚, 法国美国 ,导演:大卫·林奇DavidLynch   主演:娜奥米·沃茨NaomiWatts/劳拉·哈,穆赫兰道,大卫·林奇的梦境迷宫。,8.3,243352人
232,2012 , 喜剧动画奇幻冒险, 美国 ,导演:瑞奇·莫尔RichMoore   主演:约翰·C·赖利JohnC.Reilly/萨拉,无敌破坏王,迪士尼和皮克斯拿错剧本的产物。,8.6,191069人
233,2010 , 剧情传记历史, 英国澳大利亚美国 ,导演:汤姆·霍珀TomHooper   主演:柯林·菲尔斯ColinFirth/杰弗里·,国王的演讲,皇上无话儿。,8.3,352808人
234,2008 , 剧情家庭, 日本 ,导演:是枝裕和HirokazuKoreeda   主演:阿部宽HiroshiAbe/夏川结衣Yu,步履不停,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,8.8,77856人
235,2006 , 剧情惊悚冒险, 美国德国 ,导演:爱德华·兹威克EdwardZwick   主演:莱昂纳多·迪卡普里奥Leonardo,血钻,每个美丽事物背后都是滴血的现实。,8.5,138225人
236,2013 , 科幻悬疑惊悚, 美国英国 ,导演:詹姆斯·沃德·布柯特JamesWardByrkit   主演:艾米丽·芭尔多尼Em,彗星来的那一夜,小成本大魅力。,8.4,187720人
237,1980 , 喜剧, 博茨瓦纳南非 ,导演:JamieUys   主演:MariusWeyers/SandraPrinsloo/N!xau,上帝也疯狂,纯净原始的笑与感动。,8.6,99263人
238,1999 , 剧情动作犯罪, 香港 ,导演:杜琪峰JohnnieTo   主演:吴镇宇FrancisNg/任达华SimonYam/,枪火,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,8.6,103498人
239,2003 , 剧情犯罪悬疑, 美国德国英国 ,导演:AlanParker   主演:凯文·史派西KevinSpacey/凯特·温丝莱特Kat,大卫·戈尔的一生,捍卫人权只是信仰，一点不妨碍其行为的残忍。,8.6,97325人
240,2002 , 剧情爱情同性, 台湾法国 ,导演:易智言Chih-yenYee   主演:陈柏霖Bo-linChen/桂纶镁LunmeiKwa,蓝色大门,青春的窃窃私语。 ,8.3,279094人
241,2007 , 冒险喜剧剧情, 美国 ,导演:罗伯·莱纳RobReiner   主演:杰克·尼科尔森JackNicholson/摩根,遗愿清单,用剩余不多的时间，去燃烧整个生命。,8.5,134464人
242,2011 , 剧情爱情, 韩国 ,导演:秋昌民Chang-minChoo   主演:宋在河Jae-hoSong/李顺载Soon-jae,我爱你,你要相信，这世上真的有爱存在，不管在什么年纪 ,9.0,60022人
243,2000 , 冒险剧情, 美国 ,导演:罗伯特·泽米吉斯RobertZemeckis   主演:汤姆·汉克斯TomHanks/,荒岛余生,一个人的独角戏。,8.5,139533人
244,1997 , 剧情科幻, 美国 ,导演:安德鲁·尼科尔AndrewNiccol   主演:伊桑·霍克EthanHawke/乌玛,千钧一发,一部能引人思考的科幻励志片。,8.7,89655人
245,2002 , 剧情家庭, 韩国 ,导演:李廷香Jeong-hyangLee   主演:金艺芬Eul-boonKim/俞承豪Seung-,爱·回家,献给所有外婆的电影。,9.0,48870人
246,2001 , 动作历史战争, 美国 ,导演:雷德利·斯科特RidleyScott   主演:乔什·哈奈特JoshHartnett/,黑鹰坠落,还原真实而残酷的战争。,8.5,119925人
247,2015 , 剧情传记, 美国 ,导演:托马斯·麦卡锡ThomasMcCarthy   主演:马克·鲁弗洛MarkRuffalo/,聚焦,,8.8,132341人
248,2001 , 剧情喜剧动画, 香港 ,导演:袁建滔ToeYuen   主演:李晋纬/林海峰JanLamb/吴君如SandraNg,麦兜故事,麦兜是一只很哲学的猪。 ,8.5,131823人
249,2004 , 剧情爱情奇幻, 美国 ,导演:米歇尔·冈瑞MichelGondry   主演:金·凯瑞JimCarrey/凯特·温,暖暖内含光,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,8.4,148964人
